name,annotations,codepoints
bride with veil: light skin tone,"bride, light skin tone, veil, wedding","[128112, 127995]"
bride with veil: medium-light skin tone,"bride, medium-light skin tone, veil, wedding","[128112, 127996]"
bride with veil: medium skin tone,"bride, medium skin tone, veil, wedding","[128112, 127997]"
bride with veil: medium-dark skin tone,"bride, medium-dark skin tone, veil, wedding","[128112, 127998]"
bride with veil: dark skin tone,"bride, dark skin tone, veil, wedding","[128112, 127999]"
man in tuxedo,"groom, man, tuxedo",[129333]
man in tuxedo: light skin tone,"groom, light skin tone, man, tuxedo","[129333, 127995]"
man in tuxedo: medium-light skin tone,"groom, man, medium-light skin tone, tuxedo","[129333, 127996]"
man in tuxedo: medium skin tone,"groom, man, medium skin tone, tuxedo","[129333, 127997]"
man in tuxedo: medium-dark skin tone,"groom, man, medium-dark skin tone, tuxedo","[129333, 127998]"
man in tuxedo: dark skin tone,"dark skin tone, groom, man, tuxedo","[129333, 127999]"
pregnant woman,"pregnant, woman",[129328]
pregnant woman: light skin tone,"light skin tone, pregnant, woman","[129328, 127995]"
pregnant woman: medium-light skin tone,"medium-light skin tone, pregnant, woman","[129328, 127996]"
pregnant woman: medium skin tone,"medium skin tone, pregnant, woman","[129328, 127997]"
pregnant woman: medium-dark skin tone,"medium-dark skin tone, pregnant, woman","[129328, 127998]"
pregnant woman: dark skin tone,"dark skin tone, pregnant, woman","[129328, 127999]"
man with chinese cap,"gua pi mao, hat, man",[128114]
man with chinese cap: light skin tone,"gua pi mao, hat, light skin tone, man","[128114, 127995]"
man with chinese cap: medium-light skin tone,"gua pi mao, hat, man, medium-light skin tone","[128114, 127996]"
man with chinese cap: medium skin tone,"gua pi mao, hat, man, medium skin tone","[128114, 127997]"
man with chinese cap: medium-dark skin tone,"gua pi mao, hat, man, medium-dark skin tone","[128114, 127998]"
man with chinese cap: dark skin tone,"dark skin tone, gua pi mao, hat, man","[128114, 127999]"
person frowning,"frown, gesture",[128589]
person frowning: light skin tone,"frown, gesture, light skin tone","[128589, 127995]"
person frowning: medium-light skin tone,"frown, gesture, medium-light skin tone","[128589, 127996]"
person frowning: medium skin tone,"frown, gesture, medium skin tone","[128589, 127997]"
person frowning: medium-dark skin tone,"frown, gesture, medium-dark skin tone","[128589, 127998]"
person frowning: dark skin tone,"dark skin tone, frown, gesture","[128589, 127999]"
man frowning,"frowning, gesture, man","[128589, 8205, 9794, 65039]"
man frowning: light skin tone,"frowning, gesture, light skin tone, man","[128589, 127995, 8205, 9794, 65039]"
man frowning: medium-light skin tone,"frowning, gesture, man, medium-light skin tone","[128589, 127996, 8205, 9794, 65039]"
man frowning: medium skin tone,"frowning, gesture, man, medium skin tone","[128589, 127997, 8205, 9794, 65039]"
man frowning: medium-dark skin tone,"frowning, gesture, man, medium-dark skin tone","[128589, 127998, 8205, 9794, 65039]"
man frowning: dark skin tone,"dark skin tone, frowning, gesture, man","[128589, 127999, 8205, 9794, 65039]"
woman frowning,"frowning, gesture, woman","[128589, 8205, 9792, 65039]"
woman frowning: light skin tone,"frowning, gesture, light skin tone, woman","[128589, 127995, 8205, 9792, 65039]"
woman frowning: medium-light skin tone,"frowning, gesture, medium-light skin tone, woman","[128589, 127996, 8205, 9792, 65039]"
woman frowning: medium skin tone,"frowning, gesture, medium skin tone, woman","[128589, 127997, 8205, 9792, 65039]"
woman frowning: medium-dark skin tone,"frowning, gesture, medium-dark skin tone, woman","[128589, 127998, 8205, 9792, 65039]"
woman frowning: dark skin tone,"dark skin tone, frowning, gesture, woman","[128589, 127999, 8205, 9792, 65039]"
person pouting,"gesture, pouting",[128590]
person pouting: light skin tone,"gesture, light skin tone, pouting","[128590, 127995]"
