name,annotations,codepoints
writing hand,"hand, write",[9997]
writing hand: light skin tone,"hand, light skin tone, write","[9997, 127995]"
writing hand: medium-light skin tone,"hand, medium-light skin tone, write","[9997, 127996]"
writing hand: medium skin tone,"hand, medium skin tone, write","[9997, 127997]"
writing hand: medium-dark skin tone,"hand, medium-dark skin tone, write","[9997, 127998]"
writing hand: dark skin tone,"dark skin tone, hand, write","[9997, 127999]"
open hands,"hand, open",[128080]
open hands: light skin tone,"hand, light skin tone, open","[128080, 127995]"
open hands: medium-light skin tone,"hand, medium-light skin tone, open","[128080, 127996]"
open hands: medium skin tone,"hand, medium skin tone, open","[128080, 127997]"
open hands: medium-dark skin tone,"hand, medium-dark skin tone, open","[128080, 127998]"
open hands: dark skin tone,"dark skin tone, hand, open","[128080, 127999]"
raising hands,"celebration, gesture, hand, hooray, raised",[128588]
raising hands: light skin tone,"celebration, gesture, hand, hooray, light skin tone, raised","[128588, 127995]"
raising hands: medium-light skin tone,"celebration, gesture, hand, hooray, medium-light skin tone, raised","[128588, 127996]"
raising hands: medium skin tone,"celebration, gesture, hand, hooray, medium skin tone, raised","[128588, 127997]"
raising hands: medium-dark skin tone,"celebration, gesture, hand, hooray, medium-dark skin tone, raised","[128588, 127998]"
raising hands: dark skin tone,"celebration, dark skin tone, gesture, hand, hooray, raised","[128588, 127999]"
folded hands,"ask, bow, folded, gesture, hand, please, pray, thanks",[128591]
folded hands: light skin tone,"ask, bow, folded, gesture, hand, light skin tone, please, pray, thanks","[128591, 127995]"
folded hands: medium-light skin tone,"ask, bow, folded, gesture, hand, medium-light skin tone, please, pray, thanks","[128591, 127996]"
folded hands: medium skin tone,"ask, bow, folded, gesture, hand, medium skin tone, please, pray, thanks","[128591, 127997]"
folded hands: medium-dark skin tone,"ask, bow, folded, gesture, hand, medium-dark skin tone, please, pray, thanks","[128591, 127998]"
folded hands: dark skin tone,"ask, bow, dark skin tone, folded, gesture, hand, please, pray, thanks","[128591, 127999]"
handshake,"agreement, hand, handshake, meeting, shake",[129309]
handshake: light skin tone,"agreement, hand, handshake, light skin tone, meeting, shake","[129309, 127995]"
handshake: medium-light skin tone,"agreement, hand, handshake, medium-light skin tone, meeting, shake","[129309, 127996]"
handshake: medium skin tone,"agreement, hand, handshake, medium skin tone, meeting, shake","[129309, 127997]"
handshake: medium-dark skin tone,"agreement, hand, handshake, medium-dark skin tone, meeting, shake","[129309, 127998]"
handshake: dark skin tone,"agreement, dark skin tone, hand, handshake, meeting, shake","[129309, 127999]"
nail polish,"care, cosmetics, manicure, nail, polish",[128133]
nail polish: light skin tone,"care, cosmetics, light skin tone, manicure, nail, polish","[128133, 127995]"
nail polish: medium-light skin tone,"care, cosmetics, manicure, medium-light skin tone, nail, polish","[128133, 127996]"
nail polish: medium skin tone,"care, cosmetics, manicure, medium skin tone, nail, polish","[128133, 127997]"
nail polish: medium-dark skin tone,"care, cosmetics, manicure, medium-dark skin tone, nail, polish","[128133, 127998]"
nail polish: dark skin tone,"care, cosmetics, dark skin tone, manicure, nail, polish","[128133, 127999]"
ear,body,[128066]
ear: light skin tone,"body, light skin tone","[128066, 127995]"
ear: medium-light skin tone,"body, medium-light skin tone","[128066, 127996]"
ear: medium skin tone,"body, medium skin tone","[128066, 127997]"
ear: medium-dark skin tone,"body, medium-dark skin tone","[128066, 127998]"
ear: dark skin tone,"body, dark skin tone","[128066, 127999]"
nose,body,[128067]
nose: light skin tone,"body, light skin tone","[128067, 127995]"
nose: medium-light skin tone,"body, medium-light skin tone","[128067, 127996]"
nose: medium skin tone,"body, medium skin tone","[128067, 127997]"
nose: medium-dark skin tone,"body, medium-dark skin tone","[128067, 127998]"
nose: dark skin tone,"body, dark skin tone","[128067, 127999]"
footprints,"clothing, footprint, print",[128099]
eyes,"eye, face",[128064]
eye,body,[128065]
eye in speech bubble,"eye, speech bubble, witness","[128065, 65039, 8205, 128488, 65039]"
tongue,body,[128069]
mouth,lips,[128068]
kiss mark,"kiss, lips",[128139]
heart with arrow,"arrow, cupid",[128152]
red heart,heart,[10084]
beating heart,"beating, heartbeat, pulsating",[128147]
broken heart,"break, broken",[128148]
two hearts,love,[128149]
sparkling heart,"excited, sparkle",[128150]
growing heart,"excited, growing, nervous, pulse",[128151]
blue heart,blue,[128153]
green heart,green,[128154]
yellow heart,yellow,[128155]
purple heart,purple,[128156]
black heart,"black, evil, wicked",[128420]
heart with ribbon,"ribbon, valentine",[128157]
revolving hearts,revolving,[128158]
heart decoration,heart,[128159]
heavy heart exclamation,"exclamation, mark, punctuation",[10083]
love letter,"heart, letter, love, mail",[128140]
zzz,"comic, sleep",[128164]
anger symbol,"angry, comic, mad",[128162]
bomb,comic,[128163]
collision,"boom, comic",[128165]
sweat droplets,"comic, splashing, sweat",[128166]
dashing away,"comic, dash, running",[128168]
dizzy,"comic, star",[128171]
speech balloon,"balloon, bubble, comic, dialog, speech",[128172]
left speech bubble,"dialog, speech",[128488]
right anger bubble,"angry, balloon, bubble, mad",[128495]
thought balloon,"balloon, bubble, comic, thought",[128173]
hole,hole,[128371]
glasses,"clothing, eye, eyeglasses, eyewear",[128083]
sunglasses,"dark, eye, eyewear, glasses",[128374]
necktie,clothing,[128084]
t-shirt,"clothing, shirt, tshirt",[128085]
jeans,"clothing, pants, trousers",[128086]
dress,clothing,[128087]
kimono,clothing,[128088]
bikini,"clothing, swim",[128089]
womans clothes,"clothing, woman",[128090]
purse,"clothing, coin",[128091]
handbag,"bag, clothing, purse",[128092]
clutch bag,"bag, clothing, pouch",[128093]
shopping bags,"bag, hotel, shopping",[128717]
school backpack,"bag, satchel, school",[127890]
mans shoe,"clothing, man, shoe",[128094]
running shoe,"athletic, clothing, shoe, sneaker",[128095]
high-heeled shoe,"clothing, heel, shoe, woman",[128096]
womans sandal,"clothing, sandal, shoe, woman",[128097]
womans boot,"boot, clothing, shoe, woman",[128098]
crown,"clothing, king, queen",[128081]
womans hat,"clothing, hat, woman",[128082]
top hat,"clothing, hat, top, tophat",[127913]
graduation cap,"cap, celebration, clothing, graduation, hat",[127891]
rescue workers helmet,"aid, cross, face, hat, helmet",[9937]
prayer beads,"beads, clothing, necklace, prayer, religion",[128255]
lipstick,"cosmetics, makeup",[128132]
ring,diamond,[128141]
gem stone,"diamond, gem, jewel",[128142]
monkey face,"face, monkey",[128053]
monkey,monkey,[128018]
gorilla,gorilla,[129421]
dog face,"dog, face, pet",[128054]
dog,pet,[128021]
poodle,dog,[128041]
wolf face,"face, wolf",[128058]
fox face,"face, fox",[129418]
cat face,"cat, face, pet",[128049]
cat,pet,[128008]
lion face,"face, leo, lion, zodiac",[129409]
tiger face,"face, tiger",[128047]
tiger,tiger,[128005]
leopard,leopard,[128006]
horse face,"face, horse",[128052]
horse,"equestrian, racehorse, racing",[128014]
deer,deer,[129420]
unicorn face,"face, unicorn",[129412]
cow face,"cow, face",[128046]
ox,"bull, taurus, zodiac",[128002]
water buffalo,"buffalo, water",[128003]
cow,cow,[128004]
pig face,"face, pig",[128055]
pig,sow,[128022]
boar,pig,[128023]
pig nose,"face, nose, pig",[128061]
ram,"aries, sheep, zodiac",[128015]
sheep,ewe,[128017]
goat,"capricorn, zodiac",[128016]
camel,"dromedary, hump",[128042]
two-hump camel,"bactrian, camel, hump",[128043]
elephant,elephant,[128024]
rhinoceros,rhinoceros,[129423]
mouse face,"face, mouse",[128045]
mouse,mouse,[128001]
rat,rat,[128000]
hamster face,"face, hamster, pet",[128057]
rabbit face,"bunny, face, pet, rabbit",[128048]
rabbit,"bunny, pet",[128007]
chipmunk,chipmunk,[128063]
bat,"bat, vampire",[129415]
bear face,"bear, face",[128059]
koala,bear,[128040]
panda face,"face, panda",[128060]
paw prints,"feet, paw, print",[128062]
turkey,turkey,[129411]
chicken,chicken,[128020]
rooster,rooster,[128019]
hatching chick,"baby, chick, hatching",[128035]
baby chick,"baby, chick",[128036]
front-facing baby chick,"baby, chick",[128037]
bird,bird,[128038]
penguin,penguin,[128039]
dove,"bird, fly, peace",[128330]
eagle,"bird, eagle",[129413]
duck,"bird, duck",[129414]
owl,"bird, owl, wise",[129417]
frog face,"face, frog",[128056]
crocodile,crocodile,[128010]
turtle,"terrapin, tortoise, turtle",[128034]
lizard,"lizard, reptile",[129422]
snake,"bearer, ophiuchus, serpent, zodiac",[128013]
dragon face,"dragon, face, fairy tale",[128050]
dragon,fairy tale,[128009]
spouting whale,"face, spouting, whale",[128051]
whale,whale,[128011]
dolphin,flipper,[128044]
fish,"pisces, zodiac",[128031]
tropical fish,"fish, tropical",[128032]
blowfish,fish,[128033]
shark,"fish, shark",[129416]
octopus,octopus,[128025]
spiral shell,"shell, spiral",[128026]
crab,"cancer, zodiac",[129408]
shrimp,"food, shellfish, shrimp, small",[129424]
squid,"food, molusc, squid",[129425]
butterfly,"butterfly, insect, pretty",[129419]
snail,snail,[128012]
bug,insect,[128027]
ant,insect,[128028]
honeybee,"bee, insect",[128029]
lady beetle,"beetle, insect, ladybird, ladybug",[128030]
spider,insect,[128375]
spider web,"spider, web",[128376]
scorpion,"scorpio, scorpius, zodiac",[129410]
bouquet,flower,[128144]
cherry blossom,"blossom, cherry, flower",[127800]
white flower,flower,[128174]
rosette,plant,[127989]
rose,flower,[127801]
wilted flower,"flower, wilted",[129344]
hibiscus,flower,[127802]
sunflower,"flower, sun",[127803]
blossom,flower,[127804]
tulip,flower,[127799]
seedling,young,[127793]
evergreen tree,tree,[127794]
deciduous tree,"deciduous, shedding, tree",[127795]
palm tree,"palm, tree",[127796]
cactus,plant,[127797]
sheaf of rice,"ear, grain, rice",[127806]
herb,leaf,[127807]
shamrock,plant,[9752]
four leaf clover,"4, clover, four, leaf",[127808]
maple leaf,"falling, leaf, maple",[127809]
fallen leaf,"falling, leaf",[127810]
leaf fluttering in wind,"blow, flutter, leaf, wind",[127811]
grapes,"fruit, grape",[127815]
melon,fruit,[127816]
watermelon,fruit,[127817]
tangerine,"fruit, orange",[127818]
lemon,"citrus, fruit",[127819]
banana,fruit,[127820]
pineapple,fruit,[127821]
red apple,"apple, fruit, red",[127822]
green apple,"apple, fruit, green",[127823]
pear,fruit,[127824]
peach,fruit,[127825]
cherries,"cherry, fruit",[127826]
strawberry,"berry, fruit",[127827]
kiwi fruit,"food, fruit, kiwi",[129373]
tomato,"fruit, vegetable",[127813]
avocado,"avocado, food, fruit",[129361]
eggplant,"aubergine, vegetable",[127814]
potato,"food, potato, vegetable",[129364]
carrot,"carrot, food, vegetable",[129365]
ear of corn,"corn, ear, maize, maze",[127805]
hot pepper,"hot, pepper",[127798]
cucumber,"cucumber, food, pickle, vegetable",[129362]
mushroom,toadstool,[127812]
peanuts,"food, nut, peanut, vegetable",[129372]
chestnut,plant,[127792]
bread,loaf,[127838]
croissant,"bread, crescent roll, croissant, food, french",[129360]
baguette bread,"baguette, bread, food, french",[129366]
pancakes,"crpe, food, hotcake, pancake",[129374]
cheese wedge,cheese,[129472]
meat on bone,"bone, meat",[127830]
poultry leg,"bone, chicken, leg, poultry",[127831]
bacon,"bacon, food, meat",[129363]
hamburger,burger,[127828]
french fries,"french, fries",[127839]
pizza,"cheese, slice",[127829]
hot dog,"frankfurter, hotdog, sausage",[127789]
taco,mexican,[127790]
burrito,"mexican, wrap",[127791]
stuffed flatbread,"falafel, flatbread, food, gyro, kebab, stuffed",[129369]
egg,"egg, food",[129370]
cooking,"egg, frying, pan",[127859]
shallow pan of food,"casserole, food, paella, pan, shallow",[129368]
pot of food,"pot, stew",[127858]
green salad,"food, green, salad",[129367]
popcorn,popcorn,[127871]
bento box,"bento, box",[127857]
rice cracker,"cracker, rice",[127832]
rice ball,"ball, japanese, rice",[127833]
cooked rice,"cooked, rice",[127834]
curry rice,"curry, rice",[127835]
steaming bowl,"bowl, noodle, ramen, steaming",[127836]
spaghetti,pasta,[127837]
roasted sweet potato,"potato, roasted, sweet",[127840]
oden,"kebab, seafood, skewer, stick",[127842]
sushi,sushi,[127843]
fried shrimp,"fried, prawn, shrimp, tempura",[127844]
fish cake with swirl,"cake, fish, pastry, swirl",[127845]
dango,"dessert, japanese, skewer, stick, sweet",[127841]
soft ice cream,"cream, dessert, ice, icecream, soft, sweet",[127846]
shaved ice,"dessert, ice, shaved, sweet",[127847]
ice cream,"cream, dessert, ice, sweet",[127848]
doughnut,"dessert, donut, sweet",[127849]
cookie,"dessert, sweet",[127850]
birthday cake,"birthday, cake, celebration, dessert, pastry, sweet",[127874]
shortcake,"cake, dessert, pastry, slice, sweet",[127856]
chocolate bar,"bar, chocolate, dessert, sweet",[127851]
candy,"dessert, sweet",[127852]
lollipop,"candy, dessert, sweet",[127853]
custard,"dessert, pudding, sweet",[127854]
honey pot,"honey, honeypot, pot, sweet",[127855]
baby bottle,"baby, bottle, drink, milk",[127868]
glass of milk,"drink, glass, milk",[129371]
hot beverage,"beverage, coffee, drink, hot, steaming, tea",[9749]
teacup without handle,"beverage, cup, drink, tea, teacup",[127861]
sake,"bar, beverage, bottle, cup, drink",[127862]
bottle with popping cork,"bar, bottle, cork, drink, popping",[127870]
wine glass,"bar, beverage, drink, glass, wine",[127863]
cocktail glass,"bar, cocktail, drink, glass",[127864]
tropical drink,"bar, drink, tropical",[127865]
beer mug,"bar, beer, drink, mug",[127866]
clinking beer mugs,"bar, beer, clink, drink, mug",[127867]
clinking glasses,"celebrate, clink, drink, glass",[129346]
tumbler glass,"glass, liquor, shot, tumbler, whisky",[129347]
fork and knife with plate,"cooking, fork, knife, plate",[127869]
fork and knife,"cooking, fork, knife",[127860]
spoon,"spoon, tableware",[129348]
kitchen knife,"cooking, hocho, knife, tool, weapon",[128298]
amphora,"aquarius, cooking, drink, jug, tool, weapon, zodiac",[127994]
globe showing europe-africa,"africa, earth, europe, globe, world",[127757]
globe showing americas,"americas, earth, globe, world",[127758]
globe showing asia-australia,"asia, australia, earth, globe, world",[127759]
globe with meridians,"earth, globe, meridians, world",[127760]
world map,"map, world",[128506]
map of japan,"japan, map",[128510]
snow-capped mountain,"cold, mountain, snow",[127956]
mountain,mountain,[9968]
volcano,"eruption, mountain",[127755]
mount fuji,"fuji, mountain",[128507]
camping,camping,[127957]
beach with umbrella,"beach, umbrella",[127958]
desert,desert,[127964]
desert island,"desert, island",[127965]
national park,park,[127966]
stadium,stadium,[127967]
classical building,classical,[127963]
building construction,construction,[127959]
house,house,[127960]
cityscape,city,[127961]
derelict house,"derelict, house",[127962]
house,"home, house",[127968]
house with garden,"garden, home, house",[127969]
office building,building,[127970]
japanese post office,"japanese, post",[127971]
post office,"european, post",[127972]
hospital,"doctor, medicine",[127973]
bank,building,[127974]
hotel,building,[127976]
love hotel,"hotel, love",[127977]
convenience store,"convenience, store",[127978]
school,building,[127979]
department store,"department, store",[127980]
factory,building,[127981]
japanese castle,"castle, japanese",[127983]
castle,european,[127984]
wedding,"chapel, romance",[128146]
tokyo tower,"tokyo, tower",[128508]
statue of liberty,"liberty, statue",[128509]
church,"christian, cross, religion",[9962]
mosque,"islam, muslim, religion",[128332]
synagogue,"jew, jewish, religion, temple",[128333]
shinto shrine,"religion, shinto, shrine",[9961]
kaaba,"islam, muslim, religion",[128331]
fountain,fountain,[9970]
tent,camping,[9978]
foggy,fog,[127745]
night with stars,"night, star",[127747]
sunrise over mountains,"morning, mountain, sun, sunrise",[127748]
sunrise,"morning, sun",[127749]
cityscape at dusk,"city, dusk, evening, landscape, sun, sunset",[127750]
sunset,"dusk, sun",[127751]
bridge at night,"bridge, night",[127753]
hot springs,"hot, hotsprings, springs, steaming",[9832]
milky way,space,[127756]
carousel horse,"carousel, horse",[127904]
ferris wheel,"amusement park, ferris, wheel",[127905]
roller coaster,"amusement park, coaster, roller",[127906]
barber pole,"barber, haircut, pole",[128136]
circus tent,"circus, tent",[127914]
performing arts,"art, mask, performing, theater, theatre",[127917]
framed picture,"art, frame, museum, painting, picture",[128444]
artist palette,"art, museum, painting, palette",[127912]
slot machine,"game, slot",[127920]
locomotive,"engine, railway, steam, train",[128642]
railway car,"car, electric, railway, train, tram, trolleybus",[128643]
high-speed train,"railway, shinkansen, speed, train",[128644]
high-speed train with bullet nose,"bullet, railway, shinkansen, speed, train",[128645]
train,railway,[128646]
metro,subway,[128647]
light rail,railway,[128648]
station,"railway, train",[128649]
tram,trolleybus,[128650]
monorail,vehicle,[128669]
mountain railway,"car, mountain, railway",[128670]
tram car,"car, tram, trolleybus",[128651]
bus,vehicle,[128652]
oncoming bus,"bus, oncoming",[128653]
trolleybus,"bus, tram, trolley",[128654]
minibus,bus,[128656]
ambulance,vehicle,[128657]
fire engine,"engine, fire, truck",[128658]
police car,"car, patrol, police",[128659]
oncoming police car,"car, oncoming, police",[128660]
taxi,vehicle,[128661]
oncoming taxi,"oncoming, taxi",[128662]
automobile,car,[128663]
oncoming automobile,"automobile, car, oncoming",[128664]
sport utility vehicle,"recreational, sport utility",[128665]
delivery truck,"delivery, truck",[128666]
articulated lorry,"lorry, semi, truck",[128667]
tractor,vehicle,[128668]
bicycle,bike,[128690]
kick scooter,"kick, scooter",[128756]
motor scooter,"motor, scooter",[128757]
bus stop,"bus, busstop, stop",[128655]
motorway,"highway, road",[128739]
railway track,"railway, train",[128740]
fuel pump,"fuel, fuelpump, gas, pump, station",[9981]
police car light,"beacon, car, light, police, revolving",[128680]
horizontal traffic light,"light, signal, traffic",[128677]
vertical traffic light,"light, signal, traffic",[128678]
construction,barrier,[128679]
stop sign,"octagonal, sign, stop",[128721]
anchor,"ship, tool",[9875]
sailboat,"boat, resort, sea, yacht",[9973]
canoe,"boat, canoe",[128758]
speedboat,boat,[128676]
passenger ship,"passenger, ship",[128755]
ferry,"boat, passenger",[9972]
motor boat,"boat, motorboat",[128741]
ship,"boat, passenger",[128674]
airplane,"aeroplane, airplane",[9992]
small airplane,"aeroplane, airplane",[128745]
airplane departure,"aeroplane, airplane, check-in, departure, departures",[128747]
airplane arrival,"aeroplane, airplane, arrivals, arriving, landing",[128748]
seat,chair,[128186]
helicopter,vehicle,[128641]
suspension railway,"railway, suspension",[128671]
mountain cableway,"cable, gondola, mountain",[128672]
aerial tramway,"aerial, cable, car, gondola, tramway",[128673]
rocket,space,[128640]
satellite,space,[128752]
bellhop bell,"bell, bellhop, hotel",[128718]
door,door,[128682]
person in bed,"hotel, sleep",[128716]
person in bed: light skin tone,"hotel, light skin tone, sleep","[128716, 127995]"
person in bed: medium-light skin tone,"hotel, medium-light skin tone, sleep","[128716, 127996]"
person in bed: medium skin tone,"hotel, medium skin tone, sleep","[128716, 127997]"
person in bed: medium-dark skin tone,"hotel, medium-dark skin tone, sleep","[128716, 127998]"
person in bed: dark skin tone,"dark skin tone, hotel, sleep","[128716, 127999]"
bed,"hotel, sleep",[128719]
couch and lamp,"couch, hotel, lamp",[128715]
toilet,toilet,[128701]
shower,water,[128703]
person taking bath,"bath, bathtub",[128704]
person taking bath: light skin tone,"bath, bathtub, light skin tone","[128704, 127995]"
person taking bath: medium-light skin tone,"bath, bathtub, medium-light skin tone","[128704, 127996]"
person taking bath: medium skin tone,"bath, bathtub, medium skin tone","[128704, 127997]"
person taking bath: medium-dark skin tone,"bath, bathtub, medium-dark skin tone","[128704, 127998]"
person taking bath: dark skin tone,"bath, bathtub, dark skin tone","[128704, 127999]"
bathtub,bath,[128705]
hourglass,"sand, timer",[8987]
hourglass with flowing sand,"hourglass, sand, timer",[9203]
watch,clock,[8986]
alarm clock,"alarm, clock",[9200]
stopwatch,clock,[9201]
timer clock,"clock, timer",[9202]
mantelpiece clock,clock,[128368]
twelve oclock,"00, 12, 12:00, clock, oclock, twelve",[128347]
twelve-thirty,"12, 12:30, 30, clock, thirty, twelve",[128359]
one oclock,"00, 1, 1:00, clock, oclock, one",[128336]
one-thirty,"1, 1:30, 30, clock, one, thirty",[128348]
two oclock,"00, 2, 2:00, clock, oclock, two",[128337]
two-thirty,"2, 2:30, 30, clock, thirty, two",[128349]
three oclock,"00, 3, 3:00, clock, oclock, three",[128338]
three-thirty,"3, 3:30, 30, clock, thirty, three",[128350]
four oclock,"00, 4, 4:00, clock, four, oclock",[128339]
four-thirty,"30, 4, 4:30, clock, four, thirty",[128351]
five oclock,"00, 5, 5:00, clock, five, oclock",[128340]
five-thirty,"30, 5, 5:30, clock, five, thirty",[128352]
six oclock,"00, 6, 6:00, clock, oclock, six",[128341]
six-thirty,"30, 6, 6:30, clock, six, thirty",[128353]
seven oclock,"00, 7, 7:00, clock, oclock, seven",[128342]
seven-thirty,"30, 7, 7:30, clock, seven, thirty",[128354]
eight oclock,"00, 8, 8:00, clock, eight, oclock",[128343]
eight-thirty,"30, 8, 8:30, clock, eight, thirty",[128355]
nine oclock,"00, 9, 9:00, clock, nine, oclock",[128344]
nine-thirty,"30, 9, 9:30, clock, nine, thirty",[128356]
ten oclock,"00, 10, 10:00, clock, oclock, ten",[128345]
ten-thirty,"10, 10:30, 30, clock, ten, thirty",[128357]
eleven oclock,"00, 11, 11:00, clock, eleven, oclock",[128346]
eleven-thirty,"11, 11:30, 30, clock, eleven, thirty",[128358]
new moon,"dark, moon",[127761]
waxing crescent moon,"crescent, moon, waxing",[127762]
first quarter moon,"moon, quarter",[127763]
waxing gibbous moon,"gibbous, moon, waxing",[127764]
full moon,"full, moon",[127765]
waning gibbous moon,"gibbous, moon, waning",[127766]
last quarter moon,"moon, quarter",[127767]
waning crescent moon,"crescent, moon, waning",[127768]
crescent moon,"crescent, moon",[127769]
new moon face,"face, moon",[127770]
first quarter moon with face,"face, moon, quarter",[127771]
last quarter moon with face,"face, moon, quarter",[127772]
thermometer,weather,[127777]
sun,"bright, rays, sunny",[9728]
full moon with face,"bright, face, full, moon",[127773]
sun with face,"bright, face, sun",[127774]
white medium star,star,[11088]
glowing star,"glittery, glow, shining, sparkle, star",[127775]
shooting star,"falling, shooting, star",[127776]
cloud,weather,[9729]
sun behind cloud,"cloud, sun",[9925]
cloud with lightning and rain,"cloud, rain, thunder",[9928]
sun behind small cloud,"cloud, sun",[127780]
sun behind large cloud,"cloud, sun",[127781]
sun behind rain cloud,"cloud, rain, sun",[127782]
cloud with rain,"cloud, rain",[127783]
cloud with snow,"cloud, cold, snow",[127784]
cloud with lightning,"cloud, lightning",[127785]
tornado,"cloud, whirlwind",[127786]
fog,cloud,[127787]
wind face,"blow, cloud, face, wind",[127788]
cyclone,"dizzy, twister, typhoon",[127744]
rainbow,rain,[127752]
closed umbrella,"clothing, rain, umbrella",[127746]
umbrella,"clothing, rain",[9730]
umbrella with rain drops,"clothing, drop, rain, umbrella",[9748]
umbrella on ground,"rain, sun, umbrella",[9969]
high voltage,"danger, electric, electricity, lightning, voltage, zap",[9889]
snowflake,"cold, snow",[10052]
snowman,"cold, snow",[9731]
snowman without snow,"cold, snow, snowman",[9924]
comet,space,[9732]
fire,"flame, tool",[128293]
droplet,"cold, comic, drop, sweat",[128167]
water wave,"ocean, water, wave",[127754]
jack-o-lantern,"celebration, halloween, jack, lantern",[127875]
christmas tree,"celebration, christmas, tree",[127876]
fireworks,celebration,[127878]
sparkler,"celebration, fireworks, sparkle",[127879]
sparkles,"sparkle, star",[10024]
balloon,celebration,[127880]
party popper,"celebration, party, popper, tada",[127881]
confetti ball,"ball, celebration, confetti",[127882]
tanabata tree,"banner, celebration, japanese, tree",[127883]
pine decoration,"bamboo, celebration, japanese, pine",[127885]
japanese dolls,"celebration, doll, festival, japanese",[127886]
carp streamer,"carp, celebration, streamer",[127887]
wind chime,"bell, celebration, chime, wind",[127888]
moon viewing ceremony,"celebration, ceremony, moon",[127889]
ribbon,celebration,[127872]
wrapped gift,"box, celebration, gift, present, wrapped",[127873]
reminder ribbon,"celebration, reminder, ribbon",[127895]
admission tickets,"admission, ticket",[127903]
ticket,admission,[127915]
military medal,"celebration, medal, military",[127894]
trophy,prize,[127942]
sports medal,medal,[127941]
1st place medal,"first, gold, medal",[129351]
2nd place medal,"medal, second, silver",[129352]
3rd place medal,"bronze, medal, third",[129353]
soccer ball,"ball, football, soccer",[9917]
baseball,ball,[9918]
basketball,"ball, hoop",[127936]
volleyball,"ball, game",[127952]
american football,"american, ball, football",[127944]
rugby football,"ball, football, rugby",[127945]
tennis,"ball, racquet",[127934]
pool 8 ball,"8, 8 ball, ball, billiard, eight, game",[127921]
bowling,"ball, game",[127923]
cricket,"ball, bat, game",[127951]
field hockey,"ball, field, game, hockey, stick",[127953]
ice hockey,"game, hockey, ice, puck, stick",[127954]
ping pong,"ball, bat, game, paddle, ping pong, table tennis",[127955]
badminton,"birdie, game, racquet, shuttlecock",[127992]
boxing glove,"boxing, glove",[129354]
martial arts uniform,"judo, karate, martial arts, taekwondo, uniform",[129355]
goal net,"goal, net",[129349]
direct hit,"bull, bullseye, dart, eye, game, hit, target",[127919]
flag in hole,"golf, hole",[9971]
ice skate,"ice, skate",[9976]
fishing pole,"fish, pole",[127907]
running shirt,"athletics, running, sash, shirt",[127933]
skis,"ski, snow",[127935]
video game,"controller, game",[127918]
joystick,"game, video game",[128377]
game die,"dice, die, game",[127922]
spade suit,"card, game",[9824]
heart suit,"card, game",[9829]
diamond suit,"card, game",[9830]
club suit,"card, game",[9827]
joker,"card, game, wildcard",[127183]
mahjong red dragon,"game, mahjong, red",[126980]
flower playing cards,"card, flower, game, japanese, playing",[127924]
muted speaker,"mute, quiet, silent, speaker",[128263]
speaker low volume,soft,[128264]
speaker medium volume,medium,[128265]
speaker high volume,loud,[128266]
loudspeaker,"loud, public address",[128226]
megaphone,cheering,[128227]
postal horn,"horn, post, postal",[128239]
bell,bell,[128276]
bell with slash,"bell, forbidden, mute, no, not, prohibited, quiet, silent",[128277]
musical score,"music, score",[127932]
musical note,"music, note",[127925]
musical notes,"music, note, notes",[127926]
studio microphone,"mic, microphone, music, studio",[127897]
level slider,"level, music, slider",[127898]
control knobs,"control, knobs, music",[127899]
microphone,"karaoke, mic",[127908]
headphone,earbud,[127911]
radio,video,[128251]
saxophone,"instrument, music, sax",[127927]
guitar,"instrument, music",[127928]
musical keyboard,"instrument, keyboard, music, piano",[127929]
trumpet,"instrument, music",[127930]
violin,"instrument, music",[127931]
drum,"drum, drumsticks, music",[129345]
mobile phone,"cell, mobile, phone, telephone",[128241]
mobile phone with arrow,"arrow, call, cell, mobile, phone, receive, telephone",[128242]
telephone,phone,[9742]
telephone receiver,"phone, receiver, telephone",[128222]
pager,pager,[128223]
fax machine,fax,[128224]
battery,battery,[128267]
electric plug,"electric, electricity, plug",[128268]
laptop computer,"computer, pc, personal",[128187]
desktop computer,"computer, desktop",[128421]
printer,computer,[128424]
keyboard,computer,[9000]
computer mouse,computer,[128433]
trackball,computer,[128434]
computer disk,"computer, disk, minidisk, optical",[128189]
floppy disk,"computer, disk, floppy",[128190]
optical disk,"cd, computer, disk, optical",[128191]
dvd,"blu-ray, computer, disk, dvd, optical",[128192]
movie camera,"camera, cinema, movie",[127909]
film frames,"cinema, film, frames, movie",[127902]
film projector,"cinema, film, movie, projector, video",[128253]
clapper board,"clapper, movie",[127916]
television,"tv, video",[128250]
camera,video,[128247]
camera with flash,"camera, flash, video",[128248]
video camera,"camera, video",[128249]
videocassette,"tape, vhs, video",[128252]
left-pointing magnifying glass,"glass, magnifying, search, tool",[128269]
right-pointing magnifying glass,"glass, magnifying, search, tool",[128270]
microscope,"science, tool",[128300]
telescope,"science, tool",[128301]
satellite antenna,"antenna, dish, satellite",[128225]
candle,light,[128367]
light bulb,"bulb, comic, electric, idea, light",[128161]
flashlight,"electric, light, tool, torch",[128294]
red paper lantern,"bar, japanese, lantern, light, red",[127982]
notebook with decorative cover,"book, cover, decorated, notebook",[128212]
closed book,"book, closed",[128213]
open book,"book, open",[128214]
green book,"book, green",[128215]
blue book,"blue, book",[128216]
orange book,"book, orange",[128217]
books,book,[128218]
