name,annotations,codepoints,emoji,synonyms
two men holding hands: medium-light skin tone,"couple, gemini, hand, hold, man, medium-light skin tone, twins, zodiac","[128108, 127996]",,"couple, hold, pair, love, partners, partnership"
two men holding hands: medium skin tone,"couple, gemini, hand, hold, man, medium skin tone, twins, zodiac","[128108, 127997]",,"couple, hold, pair, love, partners, partnership"
two men holding hands: medium-dark skin tone,"couple, gemini, hand, hold, man, medium-dark skin tone, twins, zodiac","[128108, 127998]",,"couple, hold, pair, love, partners, partnership"
two men holding hands: dark skin tone,"couple, dark skin tone, gemini, hand, hold, man, twins, zodiac","[128108, 127999]",,"couple, hold, pair, love, partners, partnership"
two women holding hands,"couple, hand, hold, woman",[128109],👭,"couple, hold, pair, love, partners, partnership"
two women holding hands: light skin tone,"couple, hand, hold, light skin tone, woman","[128109, 127995]",,"couple, hold, pair, love, partners, partnership"
two women holding hands: medium-light skin tone,"couple, hand, hold, medium-light skin tone, woman","[128109, 127996]",,"couple, hold, pair, love, partners, partnership"
two women holding hands: medium skin tone,"couple, hand, hold, medium skin tone, woman","[128109, 127997]",,"couple, hold, pair, love, partners, partnership"
two women holding hands: medium-dark skin tone,"couple, hand, hold, medium-dark skin tone, woman","[128109, 127998]",,"couple, hold, pair, love, partners, partnership"
two women holding hands: dark skin tone,"couple, dark skin tone, hand, hold, woman","[128109, 127999]",,"couple, hold, pair, love, partners, partnership"
kiss,couple,[128143],💏,"couple, hold, pair, love, partners, partnership, kiss, kissing"
"kiss: woman, man","couple, man, woman","[128105, 8205, 10084, 65039, 8205, 128139, 8205, 128104]",,"couple, hold, pair, love, partners, partnership, kiss, kissing"
"kiss: man, man","couple, man","[128104, 8205, 10084, 65039, 8205, 128139, 8205, 128104]",,"couple, hold, pair, love, partners, partnership, kiss, kissing"
"kiss: woman, woman","couple, woman","[128105, 8205, 10084, 65039, 8205, 128139, 8205, 128105]",,"couple, hold, pair, love, partners, partnership, kiss, kissing"
couple with heart,"couple, love",[128145],💑,"couple, hold, pair, love, partners, partnership, kiss, kissing"
"couple with heart: woman, man","couple, love, man, woman","[128105, 8205, 10084, 65039, 8205, 128104]",,"couple, hold, pair, love, partners, partnership, kiss, kissing"
"couple with heart: man, man","couple, love, man","[128104, 8205, 10084, 65039, 8205, 128104]",,"couple, hold, pair, love, partners, partnership, kiss, kissing"
"couple with heart: woman, woman","couple, love, woman","[128105, 8205, 10084, 65039, 8205, 128105]",,"couple, hold, pair, love, partners, partnership, kiss, kissing"
family,family,[128106],👪,"family, community"
family: light skin tone,"family, light skin tone","[128106, 127995]",,"family, community"
family: medium-light skin tone,"family, medium-light skin tone","[128106, 127996]",,"family, community"
family: medium skin tone,"family, medium skin tone","[128106, 127997]",,"family, community"
family: medium-dark skin tone,"family, medium-dark skin tone","[128106, 127998]",,"family, community"
family: dark skin tone,"dark skin tone, family","[128106, 127999]",,"family, community"
"family: man, woman, boy","boy, family, man, woman","[128104, 8205, 128105, 8205, 128102]",,"family, community"
"family: man, woman, girl","family, girl, man, woman","[128104, 8205, 128105, 8205, 128103]",,"family, community"
"family: man, woman, girl, boy","boy, family, girl, man, woman","[128104, 8205, 128105, 8205, 128103, 8205, 128102]",,"family, community"
"family: man, woman, boy, boy","boy, family, man, woman","[128104, 8205, 128105, 8205, 128102, 8205, 128102]",,"family, community"
"family: man, woman, girl, girl","family, girl, man, woman","[128104, 8205, 128105, 8205, 128103, 8205, 128103]",,"family, community"
"family: man, man, boy","boy, family, man","[128104, 8205, 128104, 8205, 128102]",,"family, community"
"family: man, man, girl","family, girl, man","[128104, 8205, 128104, 8205, 128103]",,"family, community"
"family: man, man, girl, boy","boy, family, girl, man","[128104, 8205, 128104, 8205, 128103, 8205, 128102]",,"family, community"
